ID,label
0,8
1,5
2,2
3,2
4,2
5,2
6,0
7,8
8,4
9,0
10,2
11,2
12,2
13,1
14,2
15,5
16,0
17,1
18,0
19,2
20,0
21,0
22,2
23,2
24,1
25,6
26,2
27,0
28,5
29,1
30,5
31,2
32,0
33,5
34,2
35,2
36,0
37,5
38,8
39,4
40,0
41,0
42,8
43,5
44,2
45,0
46,8
47,0
48,0
49,1
50,0
51,2
52,8
53,4
54,6
55,5
56,2
57,6
58,1
59,2
60,6
61,0
62,2
63,1
64,8
65,0
66,1
67,0
68,4
69,2
70,8
71,2
72,8
73,8
74,4
75,5
76,2
77,1
78,8
79,2
80,2
81,1
82,0
83,5
84,0
85,0
86,5
87,8
88,2
89,0
90,0
91,6
92,6
93,2
94,5
95,2
96,8
97,2
98,2
99,8
100,5
101,2
102,2
103,2
104,8
105,0
106,0
107,0
108,5
109,0
110,5
111,1
112,0
113,5
114,0
115,2
116,2
117,8
118,0
119,6
120,5
121,1
122,2
123,2
124,7
125,2
126,2
127,4
128,5
129,1
130,0
131,7
132,4
133,2
134,0
135,2
136,2
137,0
138,1
139,0
140,0
141,1
142,0
143,2
144,5
145,2
146,5
147,5
148,2
149,0
150,5
151,4
152,0
153,6
154,4
155,5
156,0
157,5
158,2
159,5
160,1
161,4
162,2
163,2
164,8
165,1
166,2
167,6
168,7
169,2
170,6
171,0
172,2
173,6
174,6
175,4
176,6
177,5
178,6
179,5
180,6
181,8
182,0
183,1
184,0
185,5
186,6
187,5
188,0
189,1
190,5
191,6
192,2
193,2
194,0
195,5
196,1
197,2
198,2
199,0
200,5
201,5
202,0
203,2
204,0
205,2
206,0
207,0
208,5
209,8
210,2
211,8
212,8
213,5
214,5
215,0
216,5
217,0
218,5
219,2
220,0
221,0
222,4
223,0
224,5
225,1
226,2
227,6
228,2
229,0
230,5
231,5
232,1
233,0
234,5
235,8
236,0
237,4
238,0
239,2
240,2
241,1
242,5
243,0
244,0
245,0
246,0
247,5
248,2
249,2
250,8
251,2
252,8
253,0
254,0
255,0
256,6
257,2
258,5
259,4
260,6
261,2
262,0
263,2
264,1
265,1
266,0
267,2
268,2
269,5
270,0
271,2
272,6
273,8
274,5
275,2
276,5
277,2
278,2
279,6
280,1
281,2
282,8
283,2
284,8
285,7
286,5
287,4
288,2
289,2
290,2
291,0
292,5
293,0
294,0
295,7
296,5
297,5
298,2
299,0
300,0
301,2
302,0
303,5
304,6
305,2
306,5
307,6
308,5
309,2
310,0
311,2
312,6
313,2
314,4
315,1
316,2
317,6
318,0
319,5
320,2
321,8
322,2
323,0
324,0
325,0
326,1
327,8
328,2
329,8
330,0
331,2
332,0
333,0
334,2
335,2
336,0
337,5
338,0
339,2
340,0
341,0
342,5
343,5
344,1
345,0
346,6
347,5
348,8
349,1
350,0
351,0
352,2
353,0
354,8
355,2
356,6
357,5
358,8
359,5
360,2
361,0
362,8
363,5
364,2
365,1
366,2
367,5
368,6
369,5
370,0
371,2
372,0
373,0
374,0
375,2
376,5
377,0
378,2
379,1
380,2
381,1
382,6
383,1
384,8
385,8
386,6
387,2
388,1
389,2
390,4
391,8
392,2
393,2
394,6
395,2
396,0
397,2
398,0
399,6
400,2
401,0
402,4
403,2
404,0
405,0
406,0
407,6
408,2
409,1
410,0
411,5
412,1
413,6
414,0
415,7
416,7
417,0
418,8
419,2
420,2
421,4
422,0
423,2
424,2
425,0
426,0
427,5
428,0
429,5
430,2
431,0
432,0
433,0
434,5
435,6
436,0
437,8
438,0
439,2
440,2
441,1
442,1
443,0
444,2
445,5
446,0
447,6
448,2
449,4
450,0
451,0
452,6
453,5
454,2
455,0
456,8
457,2
458,5
459,4
460,8
461,2
462,5
463,2
464,2
465,2
466,0
467,2
468,0
469,0
470,8
471,0
472,5
473,0
474,0
475,1
476,2
477,1
478,4
479,2
480,0
481,8
482,0
483,0
484,0
485,1
486,5
487,7
488,2
489,5
490,2
491,5
492,2
493,7
494,0
495,1
496,0
497,2
498,0
499,8
500,5
501,8
502,2
503,1
504,8
505,0
506,2
507,2
508,8
509,2
510,0
511,1
512,2
513,1
514,2
515,4
516,0
517,0
518,2
519,8
520,5
521,2
522,0
523,0
524,0
525,5
526,2
527,1
528,1
529,2
530,8
531,6
532,2
533,8
534,2
535,7
536,0
537,8
538,0
539,8
540,2
541,5
542,1
543,8
544,8
545,5
546,4
547,0
548,2
549,0
550,1
551,8
552,5
553,0
554,0
555,2
556,5
557,5
558,5
559,0
560,5
561,5
562,0
563,2
564,8
565,2
566,2
567,5
568,2
569,1
570,1
571,2
572,1
573,0
574,8
575,0
576,5
577,5
578,5
579,0
580,8
581,0
582,5
583,7
584,5
585,7
586,5
587,5
588,5
589,5
590,5
591,8
592,5
593,2
594,6
595,2
596,2
597,5
598,2
599,0
600,2
601,2
602,2
603,0
604,6
605,2
606,5
607,0
608,0
609,5
610,5
611,0
612,5
613,5
614,2
615,0
616,5
617,2
618,4
619,7
620,8
621,8
622,2
623,7
624,4
625,2
626,7
627,2
628,2
629,1
630,0
631,0
632,5
633,6
634,2
635,2
636,1
637,5
638,8
639,0
640,5
641,8
642,0
643,5
644,7
645,0
646,8
647,5
648,2
649,8
650,1
651,1
652,8
653,2
654,8
655,0
656,8
657,6
658,2
659,1
660,5
661,0
662,2
663,5
664,2
665,2
666,2
667,0
668,6
669,2
670,0
671,2
672,0
673,2
674,5
675,0
676,0
677,7
678,2
679,1
680,6
681,1
682,2
683,0
684,0
685,5
686,8
687,6
688,0
689,4
690,0
691,4
692,1
693,0
694,5
695,5
